qstr_Next_Page|Next Page
qstr__Well_well!_Just_loo| Well well! Just look what the cat dragged in! Care to test your arms?
qstr__Ah!_Hey!_Hey!_A_lit| Ah! Hey! Hey! A little something to liven up our day troops! Lets have at it!
qstr__I_have_sworn_to_con| I have sworn to conquer everyone I meet. You do not look like much of a challenge... but a vow is a vow.
qstr__We_came_here_to_mak| We came here to make our fortunes. Looting your bodies will certainly aid us in that.
qstr__It_won_t_do_much_fo| It won't do much for our prestige to fight you. But we can use the gold we receive for selling you!
qstr__We_have_not_killed_| We have not killed any Pendorians for almost a day. Thank you for giving us an opportunity to kill more!
qstr__We_of_Mettenheim_ne| We of Mettenheim never pass up a challenge. Are you ready to die today?
qstr__Look_Girls_some_fre| Look Girls, some fresh candidates for gelding! Try to take all the men alive!
qstr__You_challenge_the_V| You challenge the Veccavi, fool? You shall learn the error of your ways! 
qstr__You_risk_both_your_| You risk both your lives and your manhoods by challenging us, you know. Be warned!
qstr_Men!_Another_Pendori|Men! Another Pendorian wishes to challenge us - let us show {reg63?him:her} the valor of the Melitine soldiers!
qstr_Have_you_ever_seen_t|Have you ever seen the charge of Melitine Griwbanars? Rarely has anyone seen it twice and lived.
qstr_We_are_on_a_lookout_|We are on a lookout for suitable landing beaches and provisions. Stay clear and live.
qstr_A_price_has_been_put|A price has been put on your head, and we are here to collect!
qstr_You_have_made_powerf|You have made powerful enemies, friend. They pay well... too bad for you.
qstr_You_look_pretty_good|You look pretty good... for a dead {reg63?man:woman}!
qstr_It_is_your_destiny_t|It is your destiny to end your days chained to the oars of a slave galley. It is my destiny to make a tidy profit putting you there.
qstr__Hail_outland_scum._| Hail, outland scum. Today, at my hands, you shall greet the lord of death.
qstr__How_opportune_that_| How opportune that we meet here today - the vultures who follow me are hungry.
qstr__We_have_come_to_plu| We have come to plunder this land! Stand aside or die!
qstr__If_you_must_die_thi| If you must die this day outlander, keep your sword in your hand to prove you had a warriors death!
qstr__May_your_death_be_g| May your death be glorious!
qstr__We_have_come_to_del| We have come to deliver the salvation from the mistress! Stand aside or die!
qstr__You_look_like_a_wor| You look like a worthy sacrifice to our beloved mistress!
qstr__So_YOU_are_the_snak| So YOU are the snake hater? You look like food to me!
qstr_Snakes..._I_hate_sna|Snakes... I hate snakes... except for belts and boots... which are you?
qstr_I_promise_that_I_wil|I promise that I will burn every last snake I can find.
qstr__We_are_taking_back_| We are taking back what you nobles have stolen from us!
qstr__Get_{reg63?him:her}| Get {reg63?him:her} Lads! Hang {reg63?him:her} from that oak over there as a message to all the highborns that we have had enough!
qstr__At_{reg63?him:her}_| At {reg63?him:her} lads! Strip {reg63?his:her} body and feed it to the dogs!
qstr__We_are_taking_back_t| We are taking back the land for the people! <hic>!
qstr__You_got_ale?_We_are| You got ale? We are running low and ya know.. can't run an army without ale!
qstr__Wanna_drink?_Or_may| Wanna drink? Or maybe you want to fight sober?
qstr__Thank_you_{reg63?m_| Thank you {reg63?m'lord:m'Lady}, we will be your most loyal subjects!
qstr__Thank_you_{reg63?m_l| Thank you {reg63?m'lord:m'Lady}, take no offense, but we are expected elsewhere.
qstr_we_have_made_very_li|we have made very little progress so far
qstr_we_have_succeeded_in|we have succeeded in gaining some ground, but we still have a long way to go
qstr_we_have_become_a_sig|we have become a significant force, and we have an even chance of victory
qstr_we_are_winning_the_w|we are winning the war, but our enemies are still holding on.
qstr_we_are_on_the_verge_|we are on the verge of victory. The remaining enemies pose no threat, but we still need to hunt them down.
qstr_My_weapon_slot_upgra|My weapon slot upgrades are as follows:^{s15}
qstr_Is_this_satisfactory|Is this satisfactory?
qstr_Select_the_type_of_i|Select the type of item for slot {reg1}.
qstr_This_companion_will_|This companion will now be placed at the last place in the party each time a battle starts.
qstr_husband|husband
qstr_brother|brother
qstr_father|father
qstr__{s12}_were_hired_by| {s12} were hired by {reg63?King:Queen} {playername}!
qstr_{s11}_is_upset.|{s11} is upset.
qstr_{s12}_is_upset.|{s12} is upset.
qstr_It_is_good_to_have_a|It is good to have a trusted companion. 
qstr_It_is_good_to_know_t|It is good to know that you two are getting along so well. 
qstr_Excellent_news_I_was|Excellent news, I was worried that there would be bickering. 
qstr_That_is_good_to_hear|That is good to hear.
qstr_It_is_good_that_some|It is good that someone has your back. 
qstr_I_am_glad_you_approv|I am glad you approve and get along so well.
qstr_{playername}_when_we|{playername}, when we started our long walk, few people had the courage to support me. And fewer still would be willing to put their lives at risk for my cause. But you didn't hesitate for a moment in throwing yourself at my enemies. We have gone through a lot together, and there were times I came close to losing all hope. But with God's help, we prevailed. It is now time for me to leave your company and take what's rightfully mine. From now on, I will carry out the great responsibility of ruling {s3}. There still lie many challanges ahead and I count on your help in overcoming those. And of course, you will always remain as my foremost vassal.
qstr_Here_are_the_results|Here are the results of the physical training:
qstr_Strength|Strength
qstr_Agility|Agility
qstr_{s14}^__Increased_th|{s14}^- Increased their {s15} by {reg1} to {reg2}
qstr_I_am_sorry_there_wer|I am sorry, there were no changes to their Strength and Agility.
qstr_Here_s_what_happened|Here's what happened with the weapon proficiencies:
qstr_One_handed|One-handed
qstr_Two_handed|Two-handed
qstr_Polearm|Polearm
qstr_Archery|Archery
qstr_Throwing|Throwing
qstr_Firearm|Firearm
qstr_{s14}^__{s15}_profic|{s14}^- {s15} proficiency increased by {reg1} to {reg2}
qstr_I_am_sorry_there_were|I am sorry, there were no changes to their weapon proficiencies.
qstr_The_skills_were_incr|The skills were increased as follows:
qstr_Horse_archery|Horse archery
qstr_Riding|Riding
qstr_Athletics|Athletics
qstr_Power_Draw|Power Draw
qstr_Power_Throw|Power Throw
qstr_Power_Strike|Power Strike
qstr_Ironflesh|Ironflesh
qstr_{s14}^__{s15}_skill_|{s14}^- {s15} skill increased by {reg1} to {reg2}
qstr_I_am_sorry_there_were_|I am sorry, there were no changes to their skills.
qstr_Find_and_speak_with_{|Find and speak with {s3} of {s4} to give him your oath of homage.
qstr__We_will_of_course_n| We will of course need to wait until the realm is no longer on campaign.
qstr_^^_The_defeated_lord|^^(The defeated lord genuinely admires both you and your kingdom)
qstr_^^_You_have_a_feelin|^^(You have a feeling that the defeated lord almost likes your kingdom)
qstr_^^_The_defeated_lord_|^^(The defeated lord eyes you cautiously)
qstr_^^_The_defeated_lord_l|^^(The defeated lord looks at you hatefully)
qstr_I_am_{s4}_the_ruler_|I am {s4}, the ruler of {s6}
qstr_I_am_{s4}_a_vassal_o|I am {s4}, a vassal of {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? and the lord of {s8}.:.
qstr_You_have_decided_whi|You have decided which of the suspects is guilty and now it is time to confront the murderer.
qstr_You_have_wrongfully_|You have wrongfully accused {s60}, talk to the Ghost Lady again.
qstr__{s49}_{s50}| {s49} {s50}
qstr_{s13}_asked_you_to_g|{s13} asked you to gather {reg3} heads of cattle and deliver them back to him.
qstr_{s9}_asked_you_to_sc|{s9} asked you to scout {s13}, {s14} and {s15}, then report back.
qstr_shall_we|shall we
qstr_you|you
qstr_You_are_challenging_|You are challenging me to a duel? How droll! As you wish, {playername}, it will be good sport to bash your head in.
qstr_{s16}_and_{s17}|{s16} and {s17}
qstr_Very_well_I_will_acc|Very well, I will accept you back into my ranks, if you're ready to swear your solemn oath once more.
qstr_A_pardon_will_only_b|A pardon will only be possible if you are willing to cede {s17} to me. Do you agree to my terms?
qstr_No._There_is_no_chan|No. There is no chance of peace between us, I am not interested.
qstr_{reg36}x_{s0}_have_jo|{reg36}x {s0} have joined your party. You have noticed Kaverra's smile. Deadly one ...
qstr_{reg36}x_{s0}_have_joi|{reg36}x {s0} have joined your party.
qstr__Perhaps_but_I_prefe| Perhaps, but I prefer not to spread gossip.
qstr__I_am_a_prisoner_how| I am a prisoner, how could I possibly know of any news?
qstr_I_would_even_pay_you|I would even pay you some extra, but I don't have any gold with me at the moment. Do have a deal?
qstr_I_am_even_willing_to|I am even willing to pay you {reg61} denars in addition! So, is this a deal?
qstr_Our_marshal_{s1}|Our marshal, {s1}
qstr_{s11}_and_{s12}|{s11} and {s12}
qstr_We_are_not_at_war_wi|We are not at war with anyone.
qstr_We_are_at_war_with_{|We are at war with {s12}.
qstr_go_on_the_offensive_|go on the offensive now.
qstr_act_to_defend_our_la|act to defend our lands.
qstr_take_more_time_to_ga|take more time to gather the army.
qstr_nowhere|nowhere
qstr_I_accept_oaths_only_|I accept oaths only from those I can trust to keep them, {playername}.
qstr_I_accept_oaths_only_f|I accept oaths only from those who have no stolen fiefs, {playername}.
qstr_You_promised_to_help|You promised to help {s13} claim the throne of {s14}.
qstr_What_do_you_say_to_e|What do you say to entering the service of {s9} as a mercenary captain? I have no doubt that you would be up to the task.
qstr_{s9}_asked_you_to_ta|{s9} asked you to take a message to {s13}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s9}_asked_you_to_tak|{s9} asked you to take a message to {s13} of {s15}. {s13} was believed to be at {s4} when you were given this quest.
qstr_{s11}_asked_you_to_e|{s11} asked you to escort his {s17} {s13} to {s14}.
qstr_{s13}_asked_you_to_d|{s13} asked you to deal with the bandits who are occupying the village of {s15} and then report back to him.
qstr_{s9}_asked_you_to_ra|{s9} asked you to raise {reg1} {s14} and bring them to him.
qstr_{s9}_asked_you_to_co|{s9} asked you to collect taxes from {s3}. He offered to leave you one-fifth of all the money you collect there.
qstr_{s9}_asked_you_to_hu|{s9} asked you to hunt down a fugitive named {s4}. He is currently believed to be at {s3}.
qstr_{s9}_asked_you_to_as|{s9} asked you to assassinate a local merchant at {s3}.
qstr_{s9}_has_asked_you_t|{s9} has asked you to meet with a spy in {s13}.
qstr_{s11}_asked_you_to_f|{s11} asked you to follow the spy that will leave {s12}. Be careful not to let the spy see you on the way, or he may get suspicious and turn back. Once the spy meets with his accomplice, you are to capture them and bring them back to {s11}.
qstr_{s11}_asked_you_to_c|{s11} asked you to capture a lord from {s13}, any lord, and then drag your victim back to {s11} for safekeeping.
qstr_{s9}_asked_you_to_le|{s9} asked you to lend your companion {s3} to him for a week.
qstr_{s9}_asked_you_to_col|{s9} asked you to collect the debt of {reg4} denars {s3} owes to him. {s3} was at {s4} when you were given this quest.
qstr_{s11}_gave_you_a_fak|{s11} gave you a fake letter to fool {s13} into banishing his vassal {s16}. You are to go near {s14}, give the letter to one of your {s15} and send him into the town as a messenger, believing his orders to be genuine.
qstr_{s9}_has_requested_y|{s9} has requested you to bring him {reg1} {s3} as prisoners.
qstr_Lend_your_experience|Lend your experienced surgeon {s3} to {s1}.
qstr_Then_take_it_with_my|Then take it, with my eternal thanks. You are a noble {reg63?man:woman}. I will never forget that you helped me in my time of need.
qstr_Forgive_me_{playerna|Forgive me, {playername}, but I must insist you accept it. The money means little to me, and I owe you so much. Here, take it, and let us speak no more of this.
qstr_{playername}_what_a_|{playername}, what a dear {reg63?man:woman} you are, but I will not allow you to refuse this. I owe you far more than I can say, and I am sure you can put this money to far better use than I.
qstr_{s11}_asked_you_to_r|{s11} asked you to rescue her {s17}, {s13}, from {s14} by switching clothes and taking his place in prison.
qstr_{s11}_asked_you_to_re|{s11} asked you to rescue her {s17}, {s13}, from {s14}.
qstr_{s11}_asked_you_to_d|{s11} asked you to deliver a message to {s13}, who is imprisoned at {s14}.
qstr_You_agreed_to_challe|You agreed to challenge {s13} to defend {s11}'s honor.
qstr_{s5}__Persuasion_str|{s5} (Persuasion strength: {reg5})
qstr_Persuasion_Attempt|Persuasion Attempt
qstr_purchase_{s10}|purchase {s10}
qstr_replace_the_{s9}_wit|replace the {s9} with {s10}
qstr_Your_entire_party_is|Your entire party is happier.
qstr_Do_NOT_train_garriso|Do NOT train garrison.
qstr_Start_training_garri|Start training garrison.
qstr_{reg8?{reg8}:no}_oth|{reg8?{reg8}:no} other {s14} order{reg7?s:} currently established, {reg63?m'Lord:m'Lady}
qstr_You_can_train_a_^{s7|You can train a ^{s7}^and {s8}^You have {reg29} Prestige available and with an Honor of {reg4},^Knight Honor troops will cost {reg2} Prestige, while Sergeant troops will cost {reg3} Prestige.
qstr_Order_of_the_Dragon|Order of the Dragon
qstr_Order_of_the_Lion|Order of the Lion
qstr_Immortals_Chapter|Immortals Chapter
qstr_Windriders_Chapter|Windriders Chapter
qstr_Valkyrie_Sisterhood|Valkyrie Sisterhood
qstr_Order_of_the_Griffon|Order of the Griffon
qstr_Order_of_the_Falcon|Order of the Falcon
qstr_Order_of_the_Raven_S|Order of the Raven Spear
qstr_Order_of_the_Radiant|Order of the Radiant Cross
qstr_Order_of_the_Clarion|Order of the Clarion Call
qstr_Order_of_the_Dawn|Order of the Dawn
qstr_Order_of_the_Ebony_G|Order of the Ebony Gauntlet
qstr_Order_of_the_Shadow_|Order of the Shadow Legion
qstr_Order_of_the_Silverm|Order of the Silvermist Rangers
qstr_Order_of_Eventide|Order of Eventide
qstr_Order_of_the_Phoenix|Order of the Phoenix
qstr_Order_of_the_Shadow_W|Order of the Shadow Wolves
qstr_Order_of_the_Scorpio|Order of the Scorpion Assassins
qstr_Order_of_the_Kraken_|Order of the Kraken Cultists
qstr_{s9}__from_{s8}_|{s9} (from {s8})
qstr_Your_whole_party_is_|Your whole party is happier.
qstr__You_begin_entertain| You begin entertaining in the Tavern and receive {reg1} gold.
qstr_{s54}|{s54}
qstr_Quigfen_of_Laria_ask|Quigfen of Laria asked you to destroy the marauding Jatu army in the Laria woods.
qstr__{reg25}x_Noldor_War| {reg25}x Noldor Warrior have joined your party.
qstr__{reg26}x_Noldor_Ran| {reg26}x Noldor Ranger have joined your party.
qstr__{reg27}x_Noldor_Mai| {reg27}x Noldor Maiden Ranger have joined your party.
qstr__{reg28}x_Noldor_Nob| {reg28}x Noldor Noble have joined your party.
qstr__{reg29}x_Noldor_Twi| {reg29}x Noldor Twilight Knight have joined your party.
qstr__The_Goddess_of_Fate| The Goddess of Fate smiles upon you, my friend! In a recent northern raid, my colleagues managed to capture {reg7} Bearclaw Berserkers that I might be willing to sell to you for {reg41} denars.
qstr__This_must_be_your_l| This must be your lucky day, my friend! In a recent Northern trip, I purchased {reg7} Ravenstern Highlanders that I might be willing to sell them to you for {reg41} denars.
qstr__This_must_be_your_lu| This must be your lucky day, my friend! In a recent Southern trip, I purchased {reg7} Omen Seekers from a Singalian raiding party. I would be willing to sell them to you for {reg41} denars.
qstr__This_may_be_your_lu| This may be your lucky day, friend. I have {reg7} warriors from distant Melitine that I am trying to unload. They will follow you for {reg41} denars.
qstr__It_seems_that_I_hav| It seems that I have too many laborers on my hands, and no way to feed them. If you are interested, I have {reg7} Refugees that would be happy to exchange their current lot to serve you for {reg41} denars.
qstr__Unfortunately_I_hav| Unfortunately I have been stuck with some prisoners who are not fitting as pleasure slaves and not worth much else unless it be to bash my brains in at the first opportunity. If you are interested, I have {reg7} Maiden Scouts that would be happy to exchange their current lot to serve you for {reg41} denars.
qstr__My_bad_luck_has_sad| My bad luck has saddled me with a small company of {reg7} Singalian Foreign Spearmen who are in my employ. Due to some bad business ventures, I cannot pay them. For {reg41} denars, I can order them to follow you. Interested?
qstr__My_bad_luck_has_sadd| My bad luck has saddled me with a small company of {reg7} Barclay Aventuriers, who are in my employ. Due to some bad business ventures, I cannot pay them. For {reg41} denars, I can order them to follow you. Are you interested?
qstr__This_must_be_your_luc| This must be your lucky day! I employ {reg7} formidable soldiers from distant Mettenheim, but I don't need them anymore. For {reg41} denars, I can order them to follow you. Interested?
qstr__Through_some_shall_| Through some, shall we say, sub-optimal business decisions, I have {reg7} armed Squires, that I am unable to neither ransom nor feed. For {reg41} gold, I am sure they would leave their current situation and serve you. Do we have a deal?
qstr__My_bad_luck_has_saddl| My bad luck has saddled me with a small company of {reg7} Bounty Hunters who are in my employ. Due to unforseen events, I am unable to pay them. For {reg41} denars, I can order them into your service. Is this of interest to you?
qstr__My_bad_luck_just_ha| My bad luck just has no end. I have tried to ransom a good fellow, {s1} ,who had some misfortune on the road. The Order refused to pay a ransom and he certainly is worth more than a Galley Slave. Perhaps for {reg41} denars you could take him off my hands. I am sure he would follow you in your journey.
qstr__Should_my_bad_luck_| Should my bad luck continue, I will be out of business. I recently acquired a fellow who was captured and it seems that he is some sort of outcast as his people are not willing to ransom him. He is fairly dangerous, I must warn you. He is an elf, you see, and they can be... unpredictable. We have a deal. He gets half of the gold that I sell him for as long as he is able to fight. He is some kind of tracker I think, maybe a warrior, it is hard to tell. Would you be interested in taking him into your company and paying me {reg41} for my trouble? 
qstr__It_has_been_my_misf| It has been my misfortune to have recently captured {reg7} Maiden Adventurers as they tried to free one of their friends from an associate's slave galley. While these Maidens could have had possible futures as pleasure slaves, their martial training makes them much too dangerous for so delicate a role. Perhaps you can take them in, and put their aggressive tendencies to more constructive work for, say, {reg41} denars? 
qstr__No_I_have_no_room_i| No, I have no room in my party.
qstr__No_I_am_not_interes| No, I am not interested.
qstr_{reg34}_Mercenaries_|{reg34} Mercenaries have joined your party.
qstr__Search_Rane_for_a_h| Search Rane for a hidden chest or cache of treasure.
qstr__Search_Valonbray_fo| Search Valonbray for a hidden chest or cache of treasure
qstr__Search_for_a_bandit| Search for a bandit treasure cache near {s9}!
qstr__You_work_several_ho| You work several hours tending to your patient and are paid {reg1} denars for your trouble.
qstr_a_hidden_outpost_far|a hidden outpost far from here
qstr_It_just_so_happens_I|It just so happens I outfit many lords, many of whom wear regal-like adornments. I also happen to be one of the finest seamstresses in the entire land. For a small price I can fashion you a glorious cape to match your armor.
qstr_Well_as_it_so_happen|Well, as it so happens, bandits or those rapscallion Red Brotherhood have been sacking caravans from merchants I purchase silk from. If it causes you no worry, if you are interested, would you be willing to part ways with your cape so I may complete other orders? I would pay you for your troubles of course. Considering my talents, if you decide to change your mind after our transaction, I should be able to form you another cape with previous ones you have sold to me.
qstr_I_have_already_shown|I have already shown you the location of the mines of Al-Aziz, there is nothing else I have to trade to you besides my books!
qstr_I_can_show_you_where|I can show you where the hidden mines of Al-Aziz are located in exchange for a Large Pouch of Diamonds.^ I will show you on your map so you can enter and explore it.
qstr_Oh!_Yes_that_s_right|Oh! Yes, that's right. Too much strong drink has affected my memory. Who are you again?
qstr_I_do_not_have_such_a|I do not have such a gems to trade.
qstr_No_I_am_not_interest|No, I am not interested in that map at the moment.
qstr__You_have_discovered| You have discovered the hidden location of Al-Aziz!
qstr_^Unfortunately_after|^Unfortunately, after three uses of any combination, these wondrous alchemical marvels will lose their potency on you and their effects are halved.
qstr__Your_Strength_Agili| Your Strength, Agility and Charisma have increased by {reg2}.
qstr__Your_weapon_profici| Your weapon proficiencies have increased by {reg3}.
qstr__Your_Intelligence_h| Your Intelligence has been increased by {reg2}.
qstr__{s5}_s_Strength_Agi| {s5}'s Strength, Agility and Charisma have increased!.
qstr__{s5}_s_Intelligence| {s5}'s Intelligence has increased!.
qstr__{s5}_s_weapon_profi| {s5}'s weapon proficiencies has increased!.
qstr_The_scribe_asked_you|The scribe asked you to investigate the old tale of the lost {s54}'s castle.
qstr_Speak_with_the_villa|Speak with the village elder to find out more.
qstr_Vorador_further_sugg|Vorador further suggested the valley is located in the central region of Pendor, but at the same time is quite remote, which in turn not many people know about its existence. It seems to be a good place to establish a small permanent base.
qstr_The_valley_need_some|The valley need some work to make it more hospitable. Skilled manpower needs to be organized and {s54} seems to be a good place to start.
qstr_{s16}_They_also_say_|{s16} They also say she is renowned for her beauty.
qstr_A_villager_from_{s7}|A villager from {s7} begged you to save their village from the bandits that took refuge there.
qstr_If_ye_be_looking_for|If ye be looking for Manhunters, {reg63?sir:madam}. {reg3?Me and {reg4?{reg3} of my mates:one of my mates} are:I am} looking for a capable leader.
qstr_Well_met_my_{reg63?L|Well met my {reg63?Lord:Lady}. If you are looking for some Warriors then look no further! {reg3?I and {reg4?{reg3} of my comrades:one of my comrades} are:I am} looking for good pay and the chance to use {reg3?our spears:my spear} to make some coin.
qstr_Well_met_my_{reg63?Lo|Well met my {reg63?Lord:Lady}. {reg3?I and {reg4?{reg3} of my friends:one of my friends} are:I am} looking for adventure and a capable Captain to provide it.
qstr_Aye_{reg63?Lord:Lady|Aye {reg63?Lord:Lady}. {reg3?I and {reg4?{reg3} of my axe brothers:one of my axebrothers} are:I am} looking for a Jarl to fill {reg3?our bellies:my belly} with wine and our pockets with gold.
qstr_We_are_Jatu_{reg63?L|We are Jatu {reg63?Lord:Lady}. {reg3?I and {reg4?{reg3} of my Hunt Brothers:one of my Hunt Brothers} are:I am} looking for a Ride Master to lead {reg3?our lances:my lance} to glory.
qstr_Well_met_{reg63?Lord|Well met {reg63?Lord:Lady} Eorl. {reg3?I and {reg4?{reg3} of my Highland Brothers:one of my Highland Brothers} are:I am} seeking to serve a captain who is worthy of commanding {reg3?our:my} steel.
qstr_Aya_good_{reg63?Lord|Aya good {reg63?Lord:Lady}. {reg3?I and {reg4?{reg3} of my mates:one of my mates} are:I am} looking to improve our lot in life. {reg3?We:I}'d gladly follow you if you gave {reg3?us:me} a chance.
qstr_Hail_good_{reg63?Lor|Hail good {reg63?Lord:Lady}. {reg3?I and {reg4?{reg3} of my sisters:one of my sisters} are:I am} looking to serve a capable Captain.
qstr_Hai_{reg63?Lord:Lady|Hai {reg63?Lord:Lady} Captain! {reg3?I and {reg4?{reg3} of my companions:one of my companions} are:I am} looking to serve under a renowned adventurer who can lead {reg3?us:me} to glory in these strange lands.
qstr_Salute_{reg63?Lord:L|Salute {reg63?Lord:Lady} Captain! {reg3?I and {reg4?{reg3} of my sisters:one of my sisters} are:I am} looking to follow a worthy captain so {reg3?we:I} may earn enough to purchase {reg3?our:my} bed thralls.
qstr_Oi!_Sein_Captain!_{r|Oi! Sein Captain! {reg3?I and {reg4?{reg3} of my free brothers:one of my free brothers} are:I am} looking to follow a charismatic and, shall we say, profitable captain! {reg3?We:I} seek to use {reg3?our:my} prowess to earn gold for wine, women and song!
qstr_Salutations_camarada|Salutations camarada! {reg3?I and {reg4?{reg3} of my fellow soldats:one of my fellow soldat} are:I am} looking to join a party of thrill-seeking adventurers and to follow a cunning commandant! Whom {reg3?we:I} hope can follow an old saying from Barclay: Conquest, Glory, and Gold!
qstr_Do_you_have_a_need_f|Do you have a need for hired swords, {reg63?sir:madam}. {reg3?Me and {reg4?{reg3} of my mates:one of my mates} are:I am} looking for a captain.
qstr_You_chose_well_{reg6|You chose well, {reg63?sir:madam}. My lads know how to keep their word and earn their pay.
qstr_Well_done_{reg63?sir|Well done, {reg63?sir:madam}. Keep the money and wine coming our way, and there's no foe in Pendor you need fear.
qstr_We_are_at_your_servi|We are at your service, {reg63?sir:madam}. Point us in the direction of battle, and we'll do the rest.
qstr_current_relations_wi|current relations with town: {reg40}
qstr_The_Guildmaster_of_{|The Guildmaster of {s13} has asked you to deal with looters in the surrounding countryside.
qstr_{s9}_of_{s3}_asked_y|{s9} of {s3} asked you to deliver {reg5} units of {s6} to the tavern in {s4} in 7 days.
qstr_Escort_the_merchant_|Escort the merchant caravan to the town of {s8}.
qstr_Merchant_{s9}_of_{s4|Merchant {s9} of {s4} asked you to hunt down the troublesome bandits in the vicinity of the town.
qstr_Guildmaster_of_{s4}_|Guildmaster of {s4} gave you {reg12} denars to pay the ransom of a girl kidnapped by bandits. You are to meet the bandits near {s3} and pay them the ransom fee. After that you are to bring the girl back to {s4}.
qstr_Guildmaster_of_{s4}_p|Guildmaster of {s4} promised you {reg12} denars if you can make sure that {s12} and {s13} no longer pose a threat to a peace settlement between {s15} and {s14}. In order to do that, you must either convince them or make sure they fall captive and remain so until a peace agreement is made.
qstr_The_Guildmaster_of_{s|The Guildmaster of {s14} has asked you to deal with a group of bandits terrorizing the streets of {s14}. They only come out at night, and only attack lone travelers on the streets.
qstr_Guildmaster_of_{s10}|Guildmaster of {s10} asked you to move a cattle herd to {s13}. You will earn {reg8} denars in return.
qstr_Pippa|Pippa
qstr_Daisy|Daisy
qstr_Betsy|Betsy
qstr_Princess|Princess
qstr_{s5}|{s5}
qstr_He_is_not_commanding|He is not commanding any men at the moment.
qstr_He_currently_command|He currently commands {reg0} men{reg1?, of which around {reg1} are wounded:}.
qstr_{s1}_militia_patrol|{s1} militia patrol
qstr_There_is_no_castle_n|There is no castle next to {s54}, but the village elder mentioned old ruins located near the source of the local river, nestled into a very old mountain pass.
qstr_You_have_hired_{s2}_|You have hired {s2}, a skilled builder, who should be able to help you with construction. Meet him at {s54} during daytime.
qstr_In_order_to_make_{s5|In order to make {s54} more hospitable, {s2} would need: 3 Sumpter Horses, 3 packs of Tools, 5 pieces of Dried Meat and 1 barrel of Ale.
qstr_You_have_provided_re|You have provided required supplies. Organize necessary workforce (20 {s2}), then speak with the builder.
qstr_The_construction_is_|The construction is in progress. Return after two weeks.
qstr_{reg63?Sir:Madam}_as|{reg63?Sir:Madam}, as you know we don't have any available cells or jail to keep prisoners in this camp. Food and guards will be a problem as well. I have a few men that I hired, but they scout the nearby region looking for enemies, keeping the area safe. In light of that I will have to release any prisoners you drop off.^^What else can I do for you?
qstr_What_can_I_do_for_yo|What can I do for you, {reg63?sir:madam}?
qstr_Hidden_Base:_{s3}_wa|Hidden Base: {s3} was appointed as a horse master.
qstr_Of_course_{reg63?sir|Of course {reg63?sir:madam}. In case you have missed it - the garrison is full.
qstr_Of_course_{reg63?sir:|Of course {reg63?sir:madam}. In case you have missed it - there is still some spare room for more soldiers. As of right now we stand at {reg34} strong. We can garrison more for {reg33} in total.
qstr_Before_you_do_{reg63|Before you do, {reg63?sir:madam}, you should know that garrison is getting angry. Garrison morale is decreasing rapidly and tension between soldiers are raising. All of that is happening because this place is overcrowded. I think that desertions, even deadly brawls, are only the matter of time. ^^Currently {reg34} are stationed here, but this place can support only {reg33}.
qstr_Standard_round_shoul|Standard round should be enough. (100% HP)
qstr_Let_them_have_a_bit_|Let them have a bit more fun! (500% HP)
qstr_I_d_like_a_long_figh|I'd like a long fight! (1000% HP)
qstr_Otherwise:|Otherwise:
qstr___It_would_be_good_t|- It would be good to have a blacksmith here
qstr_{s2}^^{s3}|{s2}^^{s3}
qstr___We_could_make_a_bi|- We could make a bit more room for your soldiers
qstr___A_designated_perso|- A designated person who could take care of the horses would be very valuable.
qstr_Hidden_Base:_{s4}_wa|Hidden Base: {s4} was appointed as a blacksmith.
qstr_Hidden_Base:_troops_|Hidden Base: troops capacity increased by 50.
qstr_Bring_one_of_the_{s4|Bring one of the {s4} to the camp master.
qstr_Blacksmith_{s54}_has|Blacksmith {s54} has found a unique horse armor - find a steed worthy to wear it.
qstr_Visit_the_old_Pendor|Visit the old Pendor capital and try to find out more about what breed could wear it.
qstr_{reg1}_days_time|{reg1} days time
qstr_1_day_time|1 day time
qstr_The_horse_looks_at_y|The horse looks at you with an unexplainable mystical bond.
qstr_Horse_and_barding_sh|Horse and barding should be ready within two weeks.
qstr_What_item?|What item?
qstr_I_am_a_blacksmith_an|I am a blacksmith and don't know how to deal with this type of item. Maybe Derafsh will be able to help you.
qstr_I_am_a_blacksmith_and|I am a blacksmith and don't know how to deal with this type of item. You may need to ask someone with horse knowledge.
qstr_I_am_just_an_apprent|I am just an apprentice, I don't have the necessary skills to improve this item any further.
qstr__I_have_to_add_one_d| I have to add one day as it is in a really poor condition.
qstr__I_would_need_an_ext| I would need an extra day - armors require more work.
qstr__I_am_still_not_too_| I am still not too confident working with this new type of weapon and I will have to be very careful.
qstr_Your_{s6}_should_be_|Your {s6} should be ready within {reg1} days.{s3}{s4}{s5}
qstr_within_{reg1}_more_d|within {reg1} more days
qstr_within_1_day|within 1 day
qstr_What_horse_are_you_t|What horse are you talking about?
qstr_I_am_busy_enough_tak|I am busy enough taking care about all these animals. Maybe Harold will be able to help you.
qstr_I_can_help_you_only_|I can help you only with horses. You will have to find someone who can work a forge.
qstr_This_animal_looks_he|This animal looks healthy to me. You would need one of the Jatu horse masters to train it further. Problem is they won't work for outsiders.
