str_no_string|NO STRING!
str_hello_playername|Hello, {playername}
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again| How much good it does my heart to see you again! Sometimes, I feel that there is a mystic bond between us that transcends the distance.
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world| I must say, I do envy your freedom to ride out and experience the world.
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met| I trust that you have been behaving honorably since last we met.
str_playername__i_am_so_glad_that_you_were_able_to_come| I am so glad that you were able to come.
str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|I do enjoy speaking to you. But I am sure you understand that our people cluck their tongues at a woman who spends too long conversing with a man outside her family -- although the heavens know it's never the man who is held to blame. 
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|As much as I enjoy speaking to you, I do not care to be gossiped about by others who might lack my grace and beauty. 
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|I do so enjoy speaking to you. But as a daughter of one of the great families of this land, I must set an example of propriety. 
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|I do so enjoy speaking to you. But as a daughter of good family, I must protect my reputation. 
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Although it is kind of you to pay me such attentions, I suspect that you might find other ladies who may be more inclined to return your affection.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|As flattered as I am by your attentions, perhaps you should seek out another lady of somewhat... shall we say... different tastes.
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|As flattered as I am by your attentions, I am a daughter of a good family and must be aware of my reputation. It is not seemly that I converse too much at one time with one man. I am sure you understand. Now, if you will excuse me...
str_very_well__i_will_let_you_choose_the_time|Very well -- I will let you choose the time.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|Good! I am glad that you have abandoned the notion of pushing me into marriage before I was ready.
str_i_am|I am
str_s12_s11_to_s14|{s12} {s11} to {s14}
str_s12_i_am_here_for_the_feast|{s12}. I am here for the feast.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|Another tournament dedication? Oh, I suppose it is always flattering...
str_do_you_why_what_a_most_gallant_thing_to_say|Do you? Why, what a most gallant thing to say.
str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hmm... I cannot say that I altogether approve of such frivolity, but I must confess myself a bit flattered.
str_why_thank_you_you_are_most_kind_to_do_so|Why, thank you. You are most kind to do so.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|You are most courteous, and courtesy is a fine virtue. 
str_hmm_youre_a_bold_one_but_i_like_that_|Hmm. You're a bold one, but I like that. 
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ah, well, they all say that. But no matter. A compliment well delivered is at least a good start. 
str_oh_do_you_mean_that_such_a_kind_thing_to_say|Oh! Do you mean that? Such a kind thing to say!
str_you_are_a_most_gallant_young_man_|You are a most gallant young man. 
str__do_come_and_see_me_again_soon| Do come and see me again soon.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|You intend to ask {s12} for permission to marry {s15}.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|You intend to ask {s12} to pressure {s10} to marry you.
str_do_be_careful_i_am_so_much_endebted_to_you_for_this|Do be careful! I am so much indebted to you for this...
str_go_then__we_shall_see_which_of_you_triumphs|Go, then -- we shall see which of you triumphs...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Sigh... I will never truly understand men, and their rash actions...
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|You intend to challenge {s13} to force him to relinquish his suit of {s11}.
str_farewell|Farewell.
str_farewell_playername|Farewell, {playername}.
str___we_believe_that_there_is_money_to_be_made_selling_|  We believe that there is money to be made selling 
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole| We carry a selection of goods. Although the difference in prices for each is not so great, we hope to make a profit off of the whole.
str_s14and_other_goods|{s14}and other goods.
str__have_you_not_signed_a_truce_with_our_lord| Have you not signed a truce with our lord?
str_parole|parole
str_normal|normal
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters| Meanwhile, {s51} {reg2?are:is} being held in the castle, but {reg2?have:has} made pledges not to escape, and {reg2?are:is} being held in more comfortable quarters.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|You may be aware, {reg63?sire:my lady}, of the quarrel between {s4} and {s5} which is damaging the unity of this realm and sapping your authority. If you could persuade the lords to reconcile, it would boost your own standing. However, in taking this on, you run the risk of one the lords deciding that you have taken the rival's side.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|You may be aware, {reg63?my lord:my lady}, of the quarrel between {s4} and {s5} which is damaging the unity of this realm. If you could persuade the lords to reconcile, I imagine that {s7} would be most pleased. However, in taking this on, you run the risk of one the lords deciding that you have taken the rival's side.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms| Of course, the land is currently at peace, so you may have better luck in other realms.
str_here|here
str_over|over
str_s8_in_s12|{s8} in {s12}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| has put together a bounty on some bandits who have been attacking travelers in the area.
str__is_looking_for_a_way_to_avoid_an_impending_war| is looking for a way to avoid an impending war.
str__may_need_help_rescuing_an_imprisoned_family_member| may need help rescuing an imprisoned family member.
str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| has been asking around for someone who might want work. I'd watch yourself with him, though.
str_town|town.
str_castle|castle.
str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13| But {reg4?she:he} is being held there as a prisoner in the dungeon of {s13}.
str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|They say that {s9} is a most conventional maiden - devoted to her family, of a kind and gentle temperament, a lady in all her way.
str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|They say that {s9} is a bit of a romantic, a dreamer -- of a gentle temperament, yet unpredictable. She is likely to be led by her passions, and will be trouble for her family, I'll wager.
str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|They say that {s9} is determined to marry well and make her mark in the world. She may be a tremendous asset for her husband -- provided he can satisfy her ambition!
str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|They say that {s9} loves to hunt and ride. Maybe she wishes she were a man! Whoever she marries will have a tough job keeping the upper hand, I would say.
str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|They say that {s9} is a lady of the highest moral standards. Very admirable, very admirable -- and very hard to please, I'll warrant.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} is now betrothed to {s11}. Soon, we believe, there shall be a wedding!
str_i_have_not_heard_any_news_about_her|I have not heard any news about her.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|They say that {s9} has shown favor to {s11}. Perhaps it will not be long until they are betrothed -- if her family permits.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|They say that {s9} has been forced by her family into betrothal with {s11}.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|They say that {s9} has agreed to {s11}'s suit, and the two are now betrothed.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|They say that {s9}, under pressure from her family, has agreed to betrothal with {s11}.
str_they_say_that_s9_has_refused_s11s_suit|They say that {s9} has refused {s11}'s suit.
str_they_say_that_s11_has_tired_of_pursuing_s9|They say that {s11} has tired of pursuing {s9}.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|They say that {s9}'s family has forced her to renounce {s11}, whom she much loved.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|They say that {s9} has run away with {s11}, causing her family much grievance.
str_they_say_that_s9_and_s11_have_wed|They say that {s9} and {s11} have wed.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|They say that {s9} was recently visited by {s11}. Who knows where that might lead!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|There is not much to tell, but it is still early in the season
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}There is a feast of the {s3} in progress at {s4}, but it has been going on for a couple of days and is about to end. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}There is a feast of the {s3} in progress at {s4}, which should last for at least another day. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}There is a feast of the {s3} in progress at {s4}, which has only just begun. 
str_not_at_this_time_no|Not at this time, no.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}The great lords bring their daughters and sisters to these occasions to see and be seen, so they represent an excellent opportunity to make a lady's acquaintance.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|You will not be disappointed {reg63?sir:madam}. You will not find better warriors in all Pendor.
str_your_excellency|your excellency
str_s10_and_s11|{s10} and {s11}
str_your_loyal_subjects|your loyal subjects
str_loyal_subjects_of_s10|loyal subjects of {s10}
str_the|the
str_we|we
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Track down {s7} and defeat him, defusing calls for war within the {s11}.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Track down the {s9} who attacked travellers near {s8}, then report back to the town.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Do you wish to award it to one of your vassals?
str_who_do_you_wish_to_give_it_to|Who do you wish to give it to?
str_sire_my_lady_we_have_taken_s1_s2|{reg63?Sire:My lady}, we have taken {s1}. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}I want to have {s1} for myself. {s2}
str_fiefs_s0|(fiefs: {s0})
str_production_setting_buy_from_market|We are buying raw materials from the market.
str_production_setting_buy_from_inventory|We are only using the raw materials in our inventory.
str_production_setting_produce_to_inventory|We are putting our output into the inventory.
str_production_setting_produce_to_market|We are selling our output directly into the inventory.
str_feast_quest_expired|You were unable to hold a feast as planned. Most likely, major faction campaigns or other events intervened. You may attempt to hold the feast again, if you wish.
str_whereabouts_unknown|Whereabouts unknown.
str_mulberry_groves|acres of mulberry groves
str_olive_groves|acres of olive groves
str_acres_flax|acres of flax fields
str_enterprise_enemy_realm|{reg63?Sir:Madame}, you are an enemy of this realm. We cannot allow you to buy land here.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|You intend to privately denounce {s14} to {s13} on behalf of {s12}
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|You intend to openly denounce {s14} to his face, on behalf of {s12}
str_you_intend_to_bring_gift_for_s14|You intend to bring velvet and furs to {s12}. Then, speak to {s14}, to see if {s12} was able to arrange a reconciliation.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|We will gather the army, but not ride forth until we have an objective.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|We are concentrating our forces on their most vulnerable fortress.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|We intend to strike a blow which will do them great damage.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|We aim to take a fortress which is easy for us to defend.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|We shall leave a fiery trail through their richest lands, to draw them out to battle.
str_strategy_criticism_rash|I believe that this strategy is rash, and needlessly exposes our forces to danger.
str_strategy_criticism_cautious|I believe that this strategy is overly cautious, and will see our army melt away from boredom without us achieving any successes.
str_tavernkeeper_invalid_quest| had some sort of business going on, but I'm having trouble remembering the details.
str_faction_title_male_player|Lord {s0}
str_faction_title_male_1|Baron {s0}
str_faction_title_male_2|Count {s0}
str_faction_title_male_3|{s0} Khan
str_faction_title_male_4|Jarl {s0}
str_faction_title_male_5|{s0} Legatus
str_faction_title_male_6|Lord {s0}
str_faction_title_female_player|Lady {s0}
str_faction_title_female_1|Baroness {s0}
str_faction_title_female_2|Countess {s0}
str_faction_title_female_3|Bibi {s0}
str_faction_title_female_4|Lady {s0}
str_faction_title_female_5|{s0} Legata
str_faction_title_female_6|Lady {s0}
str_faction_title_female_7|Tribune {s0}
str_name_kingdom_text|What will be the name of your kingdom?
str_default_kingdom_name|Kingdom of Pendor
str_lord_defects_ordinary|A Lord Defects! {s1} has renounced {reg4?her:his} allegiance to the {s3}, and joined the {s2}
str_lord_defects_player|A Lord Defects!^{s1} has renounced {reg4?her:his} allegiance to the {s3}. He has tentatively joined your kingdom. You may go to your court to receive a pledge, if you wish.
str_lord_defects_player_faction|A Lord Defects!^{s1} has renounced {reg4?her:his} allegiance to the {s3}. He has tentatively joined your kingdom. You may go to your court to receive a pledge, if you wish.
str_lord_indicted_player_faction|By order of {s6}, {s4} of the {s5} has been indicted for treason. The lord has been stripped of all {reg4?her:his} properties, and has fled for {reg4?her:his} life. He wishes to join your kingdom. You may find him in your court to receive {reg?her:his} allegiance, if you wish it.
str_lord_indicted_dialog_approach|Greetings, {reg63?my lord:my lady}. You may have heard of my ill treatment at the hands of {s10}. You have a reputation as one who treats {reg63?his:her} vassals well, and if you will have me, I would be honored to pledge myself as your vassal.
str_lord_indicted_dialog_approach_yes|And I would be honored to accept your pledge.
str_lord_indicted_dialog_approach_no|I'm sorry. Your service is not required.
str_lord_indicted_dialog_rejected|Indeed? Well, perhaps your reputation is misleading. Good day, {reg63?my lord:my lady} -- I go to see if another ruler in Pendor is more appreciative of my talents.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home| has been worried about bandits establishing a hideout in his area.
str_bandit_lair_quest_description|Find and destroy the {s9}, and report back to {s11}.
str_bandit_hideout_preattack|You approach the hideout. The {s4} don't appear to have spotted you yet, and you could still sneak away unnoticed. The difficult approach to the site -- {s5} -- means that only a handful of troops in your party will be able to join the attack, and they will be unable to bring their horses. If your initial attack fails, the {s4} will easily be able to make their escape and disperse. Do you wish to attack the hideout, or wait for another occasion?
str_bandit_hideout_failure|The {s4} beat back your attack. You regroup, and advance again to find that they have dispersed and vanished into the surrounding countryside, where no doubt they will continue to threaten travelers.
str_bandit_hideout_success|With their retreat cut off, the {s4} fall one by one to your determined attack. Their hideout, and their ill-gotten gains, as now yours.
str_bandit_approach_defile|down a narrow defile
str_bandit_approach_swamp|through a pine swamp
str_bandit_approach_thickets|through a series of dense thickets
str_bandit_approach_cliffs|up a path along the side of a cliff
str_bandit_approach_cove|down a stream bed cutting through the sea-cliffs
str_political_explanation_lord_lacks_center|In this case, the fief should go to a lord who has no land and no income.
str_political_explanation_lord_took_center|In this case, the fortress should go to the one who captured it.
str_political_explanation_most_deserving_friend|In this case, I looked to my close friends and companions, and decided to give the fief to the most deserving.
str_political_explanation_most_deserving_in_faction|In this case, I looked to all the lords of the realm, and decided to give the fief to the most deserving.
str_political_explanation_self|In the absence of any clear other candidate, I nominate myself.
str_political_explanation_marshal|I chose the most valiant of our nobles, whom I trust, and whose name is not currently tainted by controversy.
str_prisoner_at_large|large, after the captors were defeated in battle. I expect your friend will resurface shortly.
str_quick_battle_scene_1|Farmhouse
str_quick_battle_scene_2|Oasis
str_quick_battle_scene_3|Tulbuk's Pass
str_quick_battle_scene_4|Haima Castle
str_quick_battle_scene_5|Ulbas Castle
str_quick_battle_troop_1|There is a reason no one goes about the cities without armed guards once the sun sets, and that reason is Rodrigo de Braganca. Once a bright eyed merchant who arrived at Valonbray with a small fortune in rubies and a dream to corner the velvet market, he was soon reduced to a pauper, having lost everything to cutthroat competition with the colluding Empire merchant guilds. But he soon turned measuring scales into swords, and applied his considerable business smarts into building up the deadliest criminal enterprise in Ethos, with hideouts and operations in every major town. He has attained his goal, for the price on his head is greater than the riches he once pursued. Now he takes great pleasure in relieving his former competitors of their worldly goods -— and worries.
str_quick_battle_troop_2|Usiatra usurped leadership of the group of bandits that occupied Siri, a rural village in the southern deserts outside the realm of Pendor, in a curt and bloody fashion when she was seventeen years old. Under her direction, the band of ruffians quickly expanded their operations across the southlands. Her shrewd, decisive manner, combined with her merciless ambition which she acts upon with inhuman composure and cruelty, garners fanatic admiration from those that follow her. As such, amongst her own she lives a decadent, spoilt lifestyle -- built upon the violent plundering she exacts in her travels. Her military strength and natural strategic wit allowed her outfit to remain undealt with in her homeland, and now she turns her eye towards the rich lands of Pendor to sustain her war band.
str_quick_battle_troop_3|The second son of a minor noble living near Marleons, Hegen was educated in the art of war and single combat. After being knighted he served as a paid knight in the army of the lord of Marleons and fought against the Ravenstern before leading a group of outriders that defeated a D'Shar raid near Amere. The ensuing counter raid and the following two campaigns earned him glory and fame as a warrior. Unfortunately, he lost any chance of further prestige when peace was declared and he was discharged. With no hope of inheriting and his skills at war languishing in peace, he assembled other young warriors and set out as a mercenary captain. He now hopes to take advantage of the fact that Pendor never lacks warring states in need of mercenaries.
str_quick_battle_troop_4|Konrad is a professional mercenary from the distant land of Balion, far beyond the vast western ocean. Having spent most of his years on campaign and seen countless battles, Konrad has grown to love his life as a soldier of fortune. Though he once had his nose flattened by a mace blow and has received many wounds, he has nevertheless survived this harsh existence through the strength of his arm, innate cunning and pure luck. Hearing of the lucrative career opportunities awaiting a man of his talents in Pendor, Konrad chartered a vessel and crossed the sea with his men in search of new wars to fight in. A sellsword with no ties to any of the Pendorian states, he is more than happy to offer his services to any lord with a fat enough coin-purse.
str_quick_battle_troop_5|Sverre is one of the so-called sea raiders -- freebooters and lawless men from the icy realm of Jumne beyond the North Sea, also said to be the ancestral home of the Nords. Already as a young man he has been along on many raids against both his distant cousins in the Windholm region and the Ravenstern. However, Sverre was always a sharp lad, and it didn't take him long to see that Pendor was a far more prosperous land than his own, and that he could have a better life here than among his own people. During a raid on Jayek, Sverre stole away while his comrades were busy looting the village and taking captives. Passing himself off as a yokel from the Chalbek mountains, Sverre quickly built up a reputation for himself as a fierce fighter, and he now seeks his fortune at the head of a mercenary band.
str_quick_battle_troop_6|Hailing from Charnye, in the far reaches of the Ravenstern tundra, Borislav is a hunter. For all of his life he has tracked the beasts of the wild for their meat and fur, living off the land just as his forefathers had done in happier days, before the endless wars. Now, the game is quick to take fright from the constant sounds of battle, and the wanton slaughter of animals by soldiers has left empty those forests that have not been burnt down. Facing starvation, Borislav chose to turn his great skill with bow and spear, learned from hunting stag, wolf, and bear, to the practice of hunting men, and his steady hand and keen eye have claimed many lives. Borislav does not care much for the disputes of kingdoms, and is only really interested in keeping himself and his men fed.
str_quick_battle_troop_7|Stavros was born in the independent city-state of Zendar, and spent much of his adult life serving in the town watch under the famous constable Hareck. Stavros' leadership and prowess were instrumental in ridding the area of the dreaded river pirates, but even he was powerless against the calamity that befell the city. When Zendar was razed to the ground by a great horde of sea raiders, Stavros fled the burning city in a crowd of refugees. After a brief period of wandering and odd jobs, he found a place in a mercenary company, eventually rising to become its leader due to his dedication and tactical aptitude. He now devotes most of his efforts to working with manhunters and local authorities against the sea raiders and other outlaws, trying to keep the land safe for travelers.
str_quick_battle_troop_8|Growing up with one of the nomadic tribes deep in the desert beyond D'Shar lands, Gamara learned early on how to hunt with sling and spear. However, the simple life and pitiless conditions in the desert did not satisfy her, and she burned with a desire to see the great world beyond that she had heard so many wondrous tales about. Life is not easy for an adventuring young woman, and Gamara had to learn the ways of Pendor quickly. Taking the weapons and armor of a soldier who had attacked her after a dispute, Gamara now hides her beauty under thick Sarranid garb, and many never even suspect she is a woman –- certainly as a force on the battlefield she is as dangerous as any man. She has gathered about her a group of followers, and together they wander the war-torn land in search of glory.
str_quick_battle_troop_9|Aethrod is not a noble person. He's changed his name twice, and is blamed for most of the crimes on Ravenstern territory. True or not, he claims to never have taken an innocent man's life, and considers himself a patriotic citizen, several times bringing his band or renegades to the assistance of his faction, when it is threatened. In times of peace, however, most lords must be careful when he is in the vicinity due to his daring personality and willingness to challenge a lord. Born and raised in the slums of Ravenstern, he learned how to use a bow at an early age and ran away from home a fourteen. Now at thirty two, his archery skills are near perfect and though he can't ride a horse well, he can hit one at the furthest of distances. Tough as nails and sharp as a hawk, he is a true local legend.
str_quick_battle_troop_10|Being the daughter of one of the most infamous bandit leaders in the D'Shar realm isn't always easy, but Zaira seems to have managed quite well. Unlike most women she grew up learning the ways of the desert warrior and is deadly with the sword as well as the bow. While the other girls her age learned how to manage the household, Zaira learned how to best gut a merchant before taking his money. At the age of sixteen Zaira had killed more men than the average veteran in the Khan's army. Just before her twentieth birthday her father was killed in brawl with another bandit leader. As the only child, Zaira now took control of her father's band. After avenging her father, she quickly picked up where he had left. Now she's on a good way of establishing her own reputation has a bandit leader.
str_quick_battle_troop_11|Argo Sendnar had quite a diversified life. When he arrived at Pendor, working as a trader, he hoped for more income than in Lokti. Little did he know, that the wartorn Pendor was a wasps' nest for bandits and cutthroats that made trading a lot more complicated than in Lokti. Being bought out by another competeting trader, after losing all his goods and money due to caravan raids, he was forced to serve as a caravan guard to make a living. Despite his pathetic fighting skills, he soon found an employment on one of the more dangerous routes through Pendor. Due to sheer luck he managed to stay alive long enough to acquire enough combat experience and money to start his own business as a caravan master, offering his services to traders in need of defense for their goods.
str_tutorial_training_ground_intro_message|Walk around the training field and speak with the fighters to practice various aspects of Mount&Blade combat. You can use ASDW keys to move around. To talk to a character, approach him until his name appears on your screen, and then press the F key. You can also use the F key to pick up items, open doors and interact with objects. Press the Tab key to exit the tutorial any time you like.
str_map_basic|Map
str_game_type_basic|Game Type
str_battle|Battle
str_siege_offense|Siege (Offense)
str_siege_defense|Siege (Defense)
str_character|Character
str_biography|Background
str_player|Player
str_enemy|Enemy
str_faction|Faction
str_army_composition|Army Composition
str_army_size|Army Size
str_reg0_men|{reg0} men
str_start|Start
str_i_need_to_raise_some_men_before_attempting_anything_else|I need to raise some men before attempting anything else
str_we_are_currently_at_peace|We are currently at peace.
str_the_marshalship|the marshalship
str_you|you
str_myself|myself
str_my_friend_s15|my friend {s15}
str_custom_battle|Custom Battle
str_comment_intro_liege_affiliated_to_player|I am told that you would dispute my claim to the crown of Pendor. Needless to say, I am not pleased by this news. However, we may still talk.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} The {s8} declared war out of personal enmity.
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} The {s8} declared war in response to border provocations.
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} The {s8} declared war to curb the other realm's power.
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} The {s8} declared war to regain lost territory.
str__family_|^Family: 
str_we_are_conducting_recce|We will first scout the area, and then decide what to do.
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_center_party_not_active|is not our target, because we don't have a leader who has taken the field.
str_center_is_friendly|is not our enemy.
str_center_is_already_besieged|is already under siege.
str_center_is_looted_or_raided_already|is already been laid waste.
str_center_marshal_does_not_want_to_attack_innocents|is inhabited by common folk, who would suffer the most if the land is laid waste.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|is already under siege, so it would be a mistake to move elsewhere.
str_center_we_are_already_here_we_should_at_least_loot_the_village|is close at hand, we should take hold of its wealth and lay waste to the rest.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|NOT USED
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|is too far away, even to reconnoiter.
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|is too far away, even to reconnoiter.
str_center_far_away_reason|{s6} is further than {s5} to our centers, therefore it will be harder for us to protect after taking it.
str_center_closer_but_this_is_not_enought|{s6} is closer than {s5} to our borders, but because of other reasons we are not attacking {s6} for now.
str_center_protected_by_enemy_army_aggressive|is protected by enemy forces, which we believe to be substantially stronger than our own.
str_center_protected_by_enemy_army_cautious|is protected by an enemy army, which we believe to be too strong to engage with confidence of victory.
str_center_cautious_marshal_believes_center_too_difficult_to_capture|would require a bloody and risky siege.
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|is too heavily defended to capture.
str_center_value_outweighed_by_difficulty_of_capture|is not of sufficient value to justify the difficulty of attacking it.
str_center_value_justifies_the_difficulty_of_capture|can be taken, and is of sufficient value to justify an attack.
str_center_is_indefensible|is too far away from our other fortresses to be defended.
str_we_are_waiting_for_selection_of_marshal|We are waiting for the selection of a marshal.
str_best_to_attack_the_enemy_lands|Given the size of our forces, we believe the best approach is to attack the enemy's lands.
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|We believe the fortress will be worth the effort to take it.
str_we_will_gather_to_defend_the_beleaguered_fortress|We will gather to defend the beleaguered fortress.
str_the_enemy_temporarily_has_the_field|The enemy temporarily has the field, and we should seek refuge until the storm passes.
str_center_has_not_been_scouted|has not been recently scouted by our forces, but we can go there, and decide what to do when we get close.
str_we_have_assembled_some_vassals|We have assembled some of the vassals, but we will wait until we have more before venturing into enemy territory.
str_we_are_waiting_here_for_vassals|We are waiting for the vassals to join us.
str_we_are_travelling_to_s11_for_vassals|We are traveling to {s11}, so that the vassals may more easily join our host before we ride forth.
str_center_strength_not_scouted|We have not scouted it recently, and do not know how strongly it is defended
str_center_strength_strongly_defended|We believe it to be strongly defended
str_center_strength_moderately_defended|We believe it to be moderately well defended
str_center_strength_weakly_defended|We believe it to be weakly defended
str_center_distant_from_concentration|is close to us than it is to the main enemy army, which we have located. It could be attacked and destroyed before they are able to respond
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|Hey, don't you think you need some sort of weapon before we try that? There should be some spare weapons over there. Just go pick one up.
str_tutorial_training_ground_warning_shield|You need to put down your shield first. Scroll down with the mouse scroll-wheel to put down your shield.
str_tutorial_training_ground_warning_melee_with_parry|You need to wield a melee weapon for this exercise. 
str_tutorial_training_ground_warning_melee|Scroll up with your mouse wheel to equip a weapon. Scrolling up will equip next weapon while scrolling down will equip next shield.
str_tutorial_training_ground_attack_training|Number of successful attacks: {reg0} / 5^Number of unsuccessful attacks: {reg1}^{s0}
