str_no_string|STRING 없습니다!
str_quick_battle_troop_9|Aethrod는 귀족이 아닙니다. 그는 자신의 이름을 두 번 바꿨으며 Ravenstern 영토의 대부분의 범죄로 비난받습니다. 사실, 그는 무고한 사람의 삶을 가져간 적이 없다고 주장하며 자신을 애국적인 시민으로 여깁니다. 그러나 평화로운시기에 대담한 성격과 주님 께 도전하려는 의지 때문에 대부분의 주들은 주변에있을 때 조심해야합니다. 레이븐 스턴 빈민가에서 태어나 자란 그는 어린 나이에 활을 사용하는 법을 배웠고 14 세의 집에서 도망 쳤다. 이제 서른 두 살에 그의 양궁 기술은 거의 완벽하고 말을 잘 타지 못하지만 가장 먼 거리에서 하나를 칠 수 있습니다. 손톱만큼이나 매처럼 날카로 워진 그는 진정한 지역 전설입니다.
str_quick_battle_troop_10|D' Shar 세계에서 가장 악명 높은 산적 지도자 중 하나의 딸이되는 것은 항상 쉬운 것은 아니지만 Zaira는 꽤 잘 관리 한 것 같습니다. 대부분의 여성들과 달리 그녀는 사막 전사의 길을 배우면서 자랐으며 활뿐만 아니라 칼로 치명적입니다. 나이가 다른 소녀들은 집안을 관리하는 방법을 배우는 동안 Zaira는 돈을 받기 전에 상인을 가장 잘 소화하는 방법을 배웠습니다. 16 세의 나이에 자이라는 칸의 군대에서 평균 재향 군인보다 더 많은 사람을 죽였다. 그녀의 20 번째 생일 직전에 그녀의 아버지는 다른 산적 지도자와 싸움에서 죽었다. 자이라는 이제 유일하게 아버지의 밴드를 장악했다. 그녀는 아버지에게 복수 한 후, 그가 떠난 곳을 빨리 집어 들었다. 이제 그녀는 자신의 평판을 확립 할 수있는 좋은 길을 가고있다.
str_quick_battle_troop_11|Argo Sendnar는 다양한 삶을 살았습니다. 그가 트레이더로 일하면서 펜 도르에 도착했을 때, 그는 Lokti보다 더 많은 수입을 원했습니다. Wartorn Pendor는 Lokti보다 거래를 훨씬 더 복잡하게 만드는 도둑과 목구멍의 말벌 둥지라는 것을 거의 알지 못했습니다. 캐러밴 습격으로 모든 물품과 돈을 잃은 후 다른 경쟁 상인에 의해 매입 된 그는 생계를 유지하기 위해 캐러밴 경비원으로 봉사해야했습니다. 그의 격렬한 싸움 기술에도 불구하고, 그는 곧 펜 도르를 통해 더 위험한 길 중 하나에서 일자리를 찾았습니다. 운이 좋았 기 때문에 그는 캐러밴 마스터로서 자신의 사업을 시작하기에 충분한 전투 경험과 돈을 습득 할만큼 오래 살면서 살아남아 물품을 방어 해야하는 상인에게 서비스를 제공했습니다.
str_tutorial_training_ground_intro_message|훈련장을 돌아 다니며 전투기와 대화하여 Mount & Blade 전투의 다양한 측면을 연습하십시오. ASDW 키를 사용하여 이동할 수 있습니다. 캐릭터와 대화하려면 화면에 이름이 나타날 때까지 그에게 접근 한 다음 F 키를 누르십시오. F 키를 사용하여 항목을 집어 들고 문을 열고 개체와 상호 작용할 수도 있습니다. 언제든지 자습서를 종료하려면 Tab 키를 누르십시오.
str_map_basic|지도
str_game_type_basic|게임 타입
str_battle|전투
str_siege_offense|포위 공격
str_siege_defense|공성 (방어)
str_character|캐릭터
str_biography|배경
str_player|플레이어
str_enemy|적
str_faction|파벌
str_army_composition|군대 구성
str_army_size|군대 규모
str_reg0_men|{reg0} 남자
str_start|스타트
str_i_need_to_raise_some_men_before_attempting_anything_else|다른 것을 시도하기 전에 남자를 키워야 해요
str_we_are_currently_at_peace|우리는 현재 평화 롭습니다.
str_the_marshalship|마샬 쉽
str_you|당신
str_myself|자기
str_my_friend_s15|내 친구 {s15}
str_custom_battle|커스텀 배틀
str_comment_intro_liege_affiliated_to_player|나는 당신이 내 주장을 펜 도르 왕관에 이의를 제기 할 것이라고 들었습니다. 말할 것도없이, 나는이 소식에 기뻐하지 않습니다. 그러나 우리는 여전히 이야기 할 수 있습니다.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} {s8}은 (는) 개인적인 적의로 전쟁을 선포했습니다.
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} {s8}은 국경 도발에 대응하여 전쟁을 선포했습니다.
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} {s8}은 다른 영역의 힘을 억제하기 위해 전쟁을 선포했습니다.
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} {s8}은 잃어버린 영토를 되찾기 위해 전쟁을 선포했습니다.
str__family_|^ 가족 :
str_we_are_conducting_recce|먼저 지역을 정찰하고 나서 무엇을해야할지 결정합니다.
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_center_party_not_active|현장을 선택한 지도자가 없기 때문에 우리의 목표는 아닙니다.
str_center_is_friendly|우리의 적이 아닙니다.
str_center_is_already_besieged|이미 포위 상태에 있습니다.
str_center_is_looted_or_raided_already|이미 낭비되었습니다.
str_center_marshal_does_not_want_to_attack_innocents|땅에 쓰레기가 쌓이면 가장 큰 고통을 겪을 일반 사람들이 살고 있습니다.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|이미 포위 상태에 있으므로 다른 곳으로 옮기는 것은 실수입니다.
str_center_we_are_already_here_we_should_at_least_loot_the_village|우리는 그 부를 붙잡고 나머지를 버려야합니다.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|사용하지 않음
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|정찰을하기에는 너무 멀어요
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|정찰을하기에는 너무 멀어요
str_center_far_away_reason|{s6}이 (가) 센터에 {s5} 이상이므로 가져간 후 보호하기가 더 어려울 것입니다.
str_center_closer_but_this_is_not_enought|{s6}은 (는) 국경에 {s5}보다 가깝지만 다른 이유로 현재 {s6}을 (를) 공격하지 않습니다.
str_center_protected_by_enemy_army_aggressive|적군에 의해 보호받습니다.
str_center_protected_by_enemy_army_cautious|우리는 적의 군대에 의해 보호받습니다. 우리는 승리에 대한 확신을 가지기에는 너무 강하다고 생각합니다.
str_center_cautious_marshal_believes_center_too_difficult_to_capture|피 묻고 위험한 포위 공격이 필요합니다.
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|캡처하기에는 너무 강력하게 방어됩니다.
str_center_value_outweighed_by_difficulty_of_capture|공격의 어려움을 정당화하기에 충분한 가치가 없습니다.
str_center_value_justifies_the_difficulty_of_capture|공격을 정당화하기에 충분한 가치가 있습니다.
str_center_is_indefensible|방어하기에는 다른 요새와 너무 멀리 떨어져 있습니다.
str_we_are_waiting_for_selection_of_marshal|우리는 마샬의 선택을 기다리고 있습니다.
str_best_to_attack_the_enemy_lands|우리는 군대의 규모가 크면 적의 땅을 공격하는 것이 최선의 방법이라고 생각합니다.
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|우리는 요새가 그것을 취할 노력의 가치가 있다고 믿습니다.
str_we_will_gather_to_defend_the_beleaguered_fortress|우리는 유명한 요새를 지키기 위해 모일 것입니다.
str_the_enemy_temporarily_has_the_field|적에게는 일시적으로 들판이 있으며 폭풍이 지나갈 때까지 피난처를 찾아야합니다.
str_center_has_not_been_scouted|최근에 우리 군대에 의해 정찰되지 않았지만 우리는 그곳에 갈 수 있고 우리가 가까워지면 어떻게해야할지 결정할 수 있습니다.
str_we_have_assembled_some_vassals|우리는 일부 족근을 조립했지만 적의 영토로 들어가기 전에 더 많은 것을 얻을 때까지 기다릴 것입니다.
str_we_are_waiting_here_for_vassals|우리는 신이 우리와 함께하기를 기다리고 있습니다.
str_we_are_travelling_to_s11_for_vassals|우리는 {s11} (으)로 여행하기 때문에 우리가 출발하기 전에 혈관이 더 쉽게 호스트에 합류 할 수 있습니다.
str_center_strength_not_scouted|우리는 최근에 그것을 정찰하지 않았으며 그것이 얼마나 강력하게 방어되는지 모릅니다.
str_center_strength_strongly_defended|우리는 그것이 강력하게 방어 될 것이라고 믿습니다
str_center_strength_moderately_defended|우리는 그것이 적당히 방어되어 있다고 믿습니다.
str_center_strength_weakly_defended|우리는 그것이 약하게 방어되어 있다고 믿습니다.
str_center_distant_from_concentration|우리가 찾은 주요 적군보다 우리에게 가깝습니다. 그들이 대응하기 전에 공격과 파괴가 가능하다
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|우리가 시도하기 전에 어떤 종류의 무기가 필요하다고 생각하지 않습니까? 저기 여분의 무기가 있어야합니다. 그냥 데리러 가세요.
str_tutorial_training_ground_warning_shield|먼저 방패를 내려야합니다. 마우스 스크롤 휠로 아래로 스크롤하여 방패를 내립니다.
str_tutorial_training_ground_warning_melee_with_parry|이 연습을 위해서는 근접 무기를 사용해야합니다.
str_tutorial_training_ground_warning_melee|마우스 휠로 위로 스크롤하여 무기를 장비하십시오. 아래로 스크롤하면 다음 무기가 장착되고 아래로 스크롤하면 다음 방패가 장착됩니다.
str_tutorial_training_ground_attack_training|성공한 공격 수 : {reg0} / 5 ^ 실패한 공격 수 : {reg1} ^ {s0}
str_tutorial_training_ground_attack_training_down|추력 공격을하십시오! (왼쪽 마우스 버튼을 누른 상태에서 마우스를 아래로 이동)
str_tutorial_training_ground_attack_training_up|오버 헤드 공격을하십시오! (왼쪽 마우스 버튼을 누른 상태에서 마우스를 움직이십시오)
str_tutorial_training_ground_attack_training_left|왼쪽에서 공격하십시오! (왼쪽 마우스 버튼을 누른 상태에서 마우스를 왼쪽으로 이동)
str_tutorial_training_ground_attack_training_right|오른쪽에서 공격하십시오! (왼쪽 마우스 버튼을 누른 상태에서 마우스를 오른쪽으로 움직이십시오)
str_tutorial_training_ground_parry_training|성공한 패리 수 : {reg0} / 5
str_tutorial_training_ground_chamber_training|성공적인 챔버 링 블록 수 : {reg0} / 5
str_tutorial_training_ground_archer_training|멋진 샷 수 : {reg0} / 3 ^ {s0}
str_tutorial_training_ground_ammo_refill|튜토리얼을 위해 미사일이 리필됩니다.
str_tutorial_training_ground_archer_text_1|{s0}에 접근하고 F를 눌러 선택하십시오.
str_tutorial_training_ground_archer_text_2|목표물을 쏴
str_tutorial_training_ground_archer_text_3|타겟팅 레티클의 크기는 정확도를 나타냅니다. 레티클이 최소 크기로 줄어들 때까지 마우스 왼쪽 버튼을 누르고 있습니다. 레티클이 가장 작 으면 마우스 왼쪽 버튼을 놓습니다. 너무 오래 기다리면 레티클이 다시 확장됩니다.
str_tutorial_training_ground_archer_text_4|R을 눌러 1 인칭 시점을 토글하십시오. 1 인칭 시점에서는 원거리 무기로 조준하기가 더 쉽습니다.
str_tutorial_training_ground_archer_text_5|모든 목표물을 쐈습니다. 이제 트레이너와 다시 대화하십시오.
str_tutorial_training_ground_horseman_text_1|{s0} 근처로 이동하여 F를 눌러 선택하십시오.
str_tutorial_training_ground_horseman_text_2|말에 접근하고 F를 눌러 장착하십시오.
str_tutorial_training_ground_horseman_text_3|다음 웨이 포인트로 향하십시오.
str_tutorial_training_ground_horseman_text_4|그 위에 화살표가있는 다음 더미를 공격하십시오!
str_tutorial_training_ground_horseman_text_5|그 위에 화살표가있는 양궁 표적을 쏴라!
str_tutorial_training_ground_horseman_text_6|운동을 성공적으로 마쳤습니다. 이제 트레이너에게 돌아가서 이야기하십시오.
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|당신의 왕국의 위대한 군주들은 {s10}의 홀에서 축제를 위해 모일 계획입니다
str_your_previous_court_some_time_ago|얼마 전에 전 법원에서
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|법원 역할을 할 수있는 요새의 탈환을 기다리고 있습니다.
str_but_if_this_goes_badly|나는 당신의 조언을 소중하게 생각합니다. 그러나 이것이 잘못되면, 나는 당신에게 책임을 질 것입니다.
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm|나는 당신이 {s4}와 좋은 관계에 있다는 것을 알고 있습니다. 그러나 이것은 모든 영역을위한 것입니다
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more|나는 당신이 {s4}와 좋은 관계에 있다는 것을 알고 있습니다. 그러나 이것은 당신의 타격이 그를 더 강하게 때릴 것이라는 것을 의미합니다!
str_killed_bandit_at_alley_fight|상인은 당신을 그의 집으로 데려갑니다. 안으로 들어간 후, 그는 길을 확인하면서 잠시 문 앞에 서서 마침내 당신이 따르지 않았다고 확신하고 말하기 시작했습니다.
str_wounded_by_bandit_at_alley_fight|당신은 충격을 받았습니다. 그러나 의식을 잃기 전에 외침과 돌진 소리가 들립니다. 당신은 약하지만 살아있는 실내에서 자신을 발견하기 위해 깨어 있습니다.
str_cannot_leave_now|지금 떠날 수 없습니다.
str_press_tab_to_exit_from_town|Tab 키를 눌러 지금 나가십시오. Tab 키를 누르면 게임의 모든 위치를 빠르게 종료 할 수 있습니다.
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|{s9} 근처에서 납치범의 은신처를 찾아 {s10} 판매자의 {s1}을 해제하십시오.
str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|{reg63? Sir : My lady}-내가 당신에게 맡겨둔 신뢰를 정당화하고 싶다면 조금 서두르십시오. 자원 봉사자와 용병을 찾으십시오. 얼마나 시간이 있는지 잘 모르겠습니다.
str_you_need_more_men_sir_my_lady|봐봐-남자가 더 필요해 현재 파티에 {reg0} 만 있습니다. 너무 적은 수의 남자로 공격하면, 자신을 족쇄에 끌어 들여 그들의 은신처를 찾을 수 있습니다. 그것은 계획이 아닙니다. 그 위험을 감수하지 마십시오. 외출하고 더 많은 마을을 방문하여 더 많은 자원 봉사자를 찾고저기서 용병을 고용하면 자신의 동전으로 돈을 갚을 수 있습니다.
str_good_you_have_enough_men|좋다 (좋아요. 잘 했어 당신은 충분한 남자가 있습니다. 자, 그 강도들 중 일부를 머리 위로 쓰러 뜨리고 그들이 은신처를 찾는 방법을 알려주십시오.
str_do_not_waste_time_go_and_learn_where_my_brother_is|보세요 {reg63? sir : my lady}. 시간은 약간의 프리미엄입니다. 이제 내 {s3}을 (를) 숨기는 위치를 찾을 수 있다면 감사하겠습니다.
str_start_up_quest_message_1|{s9}는 {s1} 선술집에서 인근 마을이나 용병에서 최소 5 명을 모집하기를 원합니다. 이 사람들을 모아서 찾아서 이야기하십시오. 그는 {s1}의 선술집에 있습니다.
str_start_up_quest_message_2|{s9} 근처에 숨어있는 {s3} 그룹을 찾아서 처치하고 고용주의 {s1} 촬영 장소를 알아보십시오.
str_start_up_quest_message_3|{s9} 근처에있는 강도의 은신처에서 상인의 형제를 구하십시오.
str_start_up_first_quest|첫 번째 퀘스트를 수행했습니다. 게임에서 언제든지 'Q'를 누르면 퀘스트 로그를 볼 수 있습니다.
str_reason_1|우리의 현재 목표는 더 큰 가치가 있습니다.
str_reason_2|{s8}에 대한 공격은 우리 영역에 더 큰 위험을 초래합니다.
str_reason_3|우리는 {s8}이보다 즉각적인 위협에 직면한다고 믿습니다.
str_reason_4|이 지역의 적군의 규모 때문일 수 있습니다.
str_reason_5|잘 모르겠습니다.
str_reason_6|우리는 그것이 얼마나 강력하게 방어되는지 모릅니다.
str_reason_7|우리는 그것이 강력하게 방어 될 것이라고 믿습니다.
str_reason_8|우리는 그것이 적당히 방어되어 있다고 믿습니다.
str_reason_9|우리는 그것이 약하게 방어되어 있다고 믿습니다.
str_has_decided_that_an_attack_on_|공격하기로 결정했습니다
str_this_would_be_better_worth_the_effort|이는 가치와 거리, 그리고 가능한 수비수를 고려하여 노력할 가치가 있습니다.
str_has_decided_to_defend_|방어하기로 결정했습니다
str_before_going_offensive_we_should_protect_our_lands_if_there_is_any_threat_so_this_can_be_reason_marshall_choosed_defending_s4|공격하기 전에 위협이있는 경우 우리의 땅을 보호해야합니다. 그래서 이것은 marshall이 {s4}의 방어를 선택한 이유 일 수 있습니다.
str_are_you_all_right|내 제안을 설명해주세요.
str_you_are_awake|아, 깨어 있어요 여전히 걸을 수 있다는 것이 좋습니다. 우리가 와서 운이 좋다. 나는 우리가 싸움의 소리를 듣고 발이 무엇인지 알기 위해 달려 갔다. 우리는 당신이 쓰러지는 것을 막기 위해 정시에 도착하지 않았지만, 목구멍에서 당신을 구했을 것입니다. 어쩌면 당신은 나를 도울 수 있습니다 ...
str_save_town_from_bandits|도적에서 {s9}을 (를) 저장하십시오.
str_you_fought_well_at_town_fight_survived|하! 잘 했어요-적어도 3 명의 적이 당신보다 먼저 내려가는 것을 보았습니다. 그런 식으로 계속 싸우면이 땅에서 자신의 이름을 알 수 있습니다.
str_you_fought_normal_at_town_fight_survived|잘 했어! 나는 당신이 하나 또는 두 개의 놈들을 설명하고 당신은 여전히 당신의 발에 있다고 들었습니다. 그보다 더 나은 전투 결과를 요구할 수는 없습니다 ...
str_you_fought_bad_at_town_fight_survived|글쎄, 적군은 비행 중이며 여전히 당신의 발에있는 것처럼 보입니다. 하루가 끝나면 전투에서 중요한 것이 전부입니다.
str_you_fought_well_at_town_fight|아! 당신은 깨어 있습니다. 당신은 꽤 타격을 받았습니다. 그러나 좋은 소식! 우리는 그들을 물리 쳤습니다. 그리고 당신은 넘어지기 전에 약간의 피해를 입었습니다. 당신이 여기에 없었다면, 그것은 매우 대담 해졌을 것입니다. 나는 당신에게 감사합니다 ...
str_you_wounded_at_town_fight|아! 당신은 살아있어. 안심입니다. 당신은 꽤 타격을 받았습니다. 나는 당신이 그들 중 하나를 가지고 있는지 확실하지 않지만, 고맙게도 우리 나머지는 그들을 이길 수있었습니다. 치료를받는 방법에 대해 알아봐야합니다 ...
str_you_fought_well_at_town_fight_survived_answer|모든 악당이 {playername}이라는 이름을 두려워하는 법을 배우도록하십시오!
str_you_fought_normal_at_town_fight_survived_answer|아, 글쎄, 나는 나머지와 함께 내 비트를 한 것을 자랑스럽게 생각합니다 ...
str_you_fought_bad_at_town_fight_survived_answer|글쎄, 나는 하나를 때리려 고했지만 피가 미끄러 져 들어갔다.
str_you_fought_well_at_town_fight_answer|아 잘 나는 좋은 일로 인한 타격을 신경 쓰지 않는 것 같아요.
str_you_wounded_at_town_fight_answer|권리. 좀 더 조심해야한다고 생각합니다.
str_unfortunately_reg0_civilians_wounded_during_fight_more|불행히도 내 젊은이들 중 약 {reg0} 명이 부상을 입었습니다. 나는 그들을 살펴 봐야한다.
str_unfortunately_reg0_civilians_wounded_during_fight|불행히도, 내 젊은이들 중 한 명은 불쾌한 타격을 받았습니다. 나는 그가 어떻게 지내고 있는지보아야한다.
str_also_one_another_good_news_is_any_civilians_did_not_wounded_during_fight|또한 우리 편에 아무도 심각하게 다 치지 않았습니다. 좋은 소식이야
str_merchant_and_you_call_some_townsmen_and_guards_to_get_ready_and_you_get_out_from_tavern|당신은 선술집을 떠나 거리로 나갑니다. 신경질적인 청년들이 길가에서 기다리고 있습니다. 당신은 그들이 옷 아래에 단검과 클럽이 숨겨져 있음을 알 수 있으며, 지나가는 순간 그들이 당신에게 던지는 모습에 두려움, 기대 및 자부심이 혼합되어 있음을 알 수 있습니다. 이 모든 명백한 플로터들에 의해 적들이 놀라지 않기를기도하면서, 당신은 마지막으로 무기를 점검하고 앞으로 행동 할 준비를합니다.
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits|나머지 소수의 도적들은 도시의 좁은 골목으로 흩어지고 화난 마을 사람들에 의해 하나씩 사냥됩니다. 당신의 승리가 완료되고 모든 부상자가 치료되었는지 확인하고, 당신과 상인은 그날의 사건을 검토하기 위해 그의 집으로 향합니다.
str_town_fight_ended_you_and_citizens_cleaned_town_from_bandits_you_wounded|당신은 그 마지막 타격으로 넘어져서 움직일 수 없으며 지나치지 않으려 고 열심히 노력합니다. 곧 거리를 채우고 싸우는 소리가 마을 사람들의 환호를 불러 일으키고 당신 편이 하루를 이겼다는 것을 안도하게 깨달았습니다. 곧, 친절한 팔이 땅에서 당신을 태우고 당신은 행복한 수면에 빠져들게합니다. 몇 시간 후에 상인 집에서 일어납니다.
str_journey_to_sarleon|당신은 Pendor의 심장부를 통해 캐러밴으로 여행합니다. 밀의 녹색 싹이 Sarleon의 평원의 어두운 토양을 통과하기 시작했습니다. 가끔 타는 마을이 목격하는 것처럼 이곳의 땅은 부자이지만 문제가 있습니다. 캐러밴은 절망적 인 사람들이 피난처를 취하고 신비한 Noldor가 숨어있는 Laria의 숲을 피합니다. 산마루에 산을 세우고 석양의 마지막 광선에서 황금빛으로 빛나는 Sarleon 마을을 구경하십시오.
str_journey_to_ravenstern|울부 짖는 늑대를 배경으로 고풍과 눈에 노출 된 까마귀 고원을 통과합니다. 이곳의 많은 땅은 일년 내내 단단하게 얼어 붙었지만, Ravenstern의 숲은 모피를 싣는 게임이 풍부하고 강은 물고기가 가득합니다. 광부들은 무수한 산에서 철을 w습니다. 토지의 부는 상인을 끌어 당기는 반면, 상인은 도둑을 뽑는다. 얽히고 설킨 말에 장착 된 Mystmountain Raiders는 눈 덮인 능선에서 캐러밴이 지나가는 것을 보지만 다행히도 공격하지는 않습니다. 당신은 Ravenstern 도시의 첨탑이 보일 때 기쁘다.
str_journey_to_torbah|당신은 소금과 D' Shar 향료를 거래하기 위해 먼 땅에서 물건을 운반하는 캐러밴과 함께 왔습니다. 힘들었다. 마침내 당신은 D' Shar 평원에 나타나기 전에 산마루를 만들었습니다. 얇은 봄 잔디는 모래 풍경에서 이미 노랗게 변했습니다. 먼 거리의 D' Shar Raiders와 캐러밴 마스터가 말한 것은 반체제 기사단과 Singalian Slavers의 밴드였습니다. 부족 씨족이 지키고있는 조랑말 무리는 D' Shar Khan의 부에 증언했다. 작은 그룹의 기병들이 멀리서 당신의 카라반을 따라 갔지만, 당신의 카라반은 잘 보호되었고 공격하지 않았습니다. 아직도, 당신은 진흙 투성이의 낮고 진흙 투성이 인 토르 바 (Torbah) 마을에 마침내 도착하는 것을 안심했습니다.
str_journey_to_javiksholm|당신은 바클레이 상선을 타고 부유 한 Fierdsvain 상인들에게 팔릴 무역 물품을 많이 실었고, 펜 도르 전역에 캐러밴들에 의해 분배되었습니다. 항해하기에 좋은 계절은 아니었다. 배는 폭풍과 바다로 어려움을 겪었습니다. 선장이 두 번이나 약탈 한 Vanskerry Raider longships를 얼어 붙은 둥지에서 두 번 휘두르면 Fierdsvain 해안을 황폐하게됩니다. 주장은 Fierdsvain이 Vanskerries의 먼 친족 인 Fierdsvain 군주의 고향이라고 설명했다.
str_journey_to_janos|당신은 배를 타고 도착하여 제국 땅이 바다와 만나는 모래를 덮었습니다. 해안선의 대부분은 평지와 숲을 가릴 수있는 안개 덩굴로 가려졌습니다. 때때로 당신은 안개 위로 떠오르는 마을 망루를 보았고, 때때로 뱀 컬트 군단을 경고하기 위해 불이 타기도합니다. 주장은 제국을 정기적으로 침략 한이 악명 높은 이단의 이야기를 들려주었습니다. 당신은 당신의 배가 Janos에 정박했을 때 안심했고, 저녁 바람에 펄럭이는 페넌트들이 닻을 타고 타고있는 Empire 갤리의 광경에 감탄했습니다.
str_victim_sarleon|여자 형제
str_victim_ravenstern|동료
str_victim_dshar|셋째 아내
str_victim_fierdsvain|아들
str_victim_empire|딸
str_bandits_sarleon|이단자
str_bandits_ravenstern|미스트 마운틴 해적
str_bandits_dshar|싱 갈리 안
str_bandits_fierdsvain|반스 커리
str_bandits_empire|뱀 이교도
str_lost_tavern_duel_ordinary|당신은 취한 사람의 마지막 타격으로 기절하면서 바닥으로 떨어졌다. 공격자의 분노가 즉시 줄어드는 것 같습니다. 그는 의자에 몸을 담그고 앉아 당신을보고, 숨을 거 슬렁 거렸다. 다른 후원자 중 일부는 그를 발로 동축시키고 문 밖으로 묶습니다. 다른 사람들 중 하나가 상처에 참석하고 곧 당신도 발에 돌아 왔습니다.
str_lost_tavern_duel_assassin|당신은 공격자의 마지막 타격에 기절하여 바닥으로 떨어졌다. 천천히 고의적으로 무릎을 꿇고 옷 아래에서 긴 칼을 잡아 당긴다. 그러나 그가 당신을 끝내기 전에, 그의 용기를 되찾은 것처럼 보이는 선술집 주인은 뒤에서 일어나 공격자에게 머리 뒤에 영향력을 부여합니다. 그는 균형을 잃고, 당신을 죽일 기회가 없어진 것을보고 문을 향해 돌진합니다. 그는 도망 친다. 한편, 다른 선술집 후원자들은 상처를 묶어 뒷방으로 끌어 당기고 휴식을 취합니다.
str_lost_startup_hideout_attack|잠시 후 의식을 회복하고 납치범들이 와인 한 통을 부수어 승리를 축하했으며 손과 발을 묶는 것과 같은 몇 가지 기본 예방책을 잊어 버린 것을 알 수 있습니다. 당신은 멀리 미끄러 져 관리합니다. 은신처에서 나오는 끔찍한 소리를 바탕으로 아직 몇 명의 추종자를 모아 다른 공격을 시작할 시간이 있다고 생각합니다.
str_as_you_no_longer_maintain_an_independent_kingdom_you_no_longer_maintain_a_court|더 이상 독립 왕국을 통치하지 않으면 법원을 더 이상 유지하지 않습니다
str_rents_from_s0|{s0}의 임대료 :
str_tariffs_from_s0|{s0}의 관세 :
str_general_quarrel|우리는 수년 동안 많은 논쟁의 반대편에서 자신을 발견했으며, 우리 사이에 나쁜 피가 쌓였습니다.
str_the_steppes|대초원
str_the_deserts|사막
str_the_tundra|툰드라
str_the_forests|숲
str_the_highlands|고원
str_the_coast|해변
str_my_lady_not_sufficient_chemistry|아가씨, 내 마음을 사로 잡은 다른 처녀들이 있습니다.
str_my_lady_engaged_to_another|나의 숙녀, 내가 이해하는 것처럼, 당신은 다른 사람과 약혼합니다.
str_attempting_to_rejoin_party|파티에 다시 합류하려고
str_separated_from_party|파티에서 분리
str_leading_party|파티를 이끌다
str_court_disbanded|더 이상 독립 왕국을 통치하지 않으면 법원이 해산되었습니다
str_i_am_not_accompanying_the_marshal_because_will_be_reappointment|나는 우리 통치자가 곧 그 직책에 다른 사람을 임명 할 것으로 의심되기 때문에 마샬을 동반하지 않습니다.
str_persuasion_opportunity|설득 기회. ^ 자동 성공에 필요한 관계 : {reg4} ^ 현재 관계 : {reg5} ^ 성공 기회 : {reg7} ^ {reg9} 관계 지점 손실 확률 : {reg8}
str_marshal_warning|{s1}을 (를) 팔로우하지 않습니다. 그러나 페널티는 없습니다.
str_follow_army_quest_brief_2|당신의 임무는 완료되었습니다. 추가 과제를 원하면 {s9}의 군대를 계속 따라갈 수 있습니다.
str_greetings_playername__it_is_good_to_see_you_i_hope_that_you_have_had_success_in_your_efforts_to_make_your_name_in_the_world|만나서 반갑습니다. 나는 당신이 거기에서 약간의 성공을 거두고 세계에서 당신의 이름을 믿습니다
str_minister_advice_select_fief|vassals가 할당 방법에 대해 추측 했으므로 {s4}를 선택하는 것이 좋습니다.
str_minister_advice_select_fief_wait|나는 당신이 병사를 임명 한 후까지 기다릴 것을 제안 할 것이다.
str_minister_advice_fief_leading_vassal|그건 그렇고, {s4}는 이미 당신의 혈관에 대한 {reg4}의지지를 받았습니다.
str_unassigned_center|(할당되지 않음)
str_s43_also_you_should_know_that_an_unprovoked_assault_is_declaration_of_war|{s43} 또한, 당신은 당신의 영역의 통치자로서,이 공격이 전쟁의 선언을 구성한다는 것을 알아야합니다.
str_missing_after_battle|전투 후 실종
str_retrieve_garrison_warning|(요새가 다른 요새에게 수여되면 군대는 회수 할 수 없습니다)
str_s12s15_declared_war_to_control_calradia|{s12} {s15}는 모든 펜 도어에 대한 통제권을 확대하기 위해 사전 텍스트없이 {s16}을 (를) 공격 할 수 있습니다.
str_offer_gift_description|선물을 제공함으로써 내 지위를 향상시킵니다.
str_resolve_dispute_description|분쟁을 해결하여 내 지위를 향상시킵니다.
str_feast_wedding_opportunity|당신의 약혼자와 그녀의 가족이 참석한다면, 이것은 당신이 결혼식을 축하 할 수있는 기회 일 것입니다.
str_s21_the_s8_declared_war_as_part_of_a_bid_to_conquer_all_calradia|{s21}. {s8}은 모든 펜 도르를 정복하려는 입찰의 일환으로 구실이 거의없는 전쟁을 선포했습니다.
str_master_vinter|마스터 빈터
